,Family Name,Given Name,Nation,Races,"Sh Time
P","Sh Time
S","Sh Time
T","Rg Time
P","Rg Time
S","Rg Time
T","Sh Time
IN","Sh Time
SP","Sh Time
Pu","Sh Time
MS","Rg Time
IN","Rg Time
SP","Rg Time
PU","Rg Time
MS","Penalty
Loop"
1,KAISHEVA,Uliana,RUS,1,0:26.0,0:23.0,0:24.5,0:41.8,0:41.7,0:41.8,,0:24.5,,,,0:41.8,,,0:26.0
2,KUMMER,Luise,GER,6,0:26.0,0:23.9,0:24.9,0:48.1,0:45.9,0:47.0,,0:25.5,0:25.0,0:24.0,,0:46.1,0:49.3,0:43.7,0:26.4
3,HAUSER,Lisa Theresa,AUT,24,0:27.3,0:23.0,0:25.1,0:48.3,0:43.6,0:46.0,0:24.9,0:25.3,0:25.2,0:25.0,0:46.3,0:46.6,0:46.6,0:44.0,0:25.3
4,ZDOUC,Dunja,AUT,11,0:28.0,0:23.7,0:25.8,0:49.5,0:45.1,0:47.3,0:27.0,0:26.7,0:23.1,,0:47.5,0:49.3,0:43.6,,0:25.8
5,WIERER,Dorothea,ITA,25,0:27.1,0:25.0,0:26.1,0:47.2,0:44.9,0:46.1,0:25.5,0:25.5,0:26.2,0:26.6,0:45.5,0:45.9,0:46.2,0:46.3,0:23.5
6,RIEDER,Christina,AUT,5,0:29.8,0:22.8,0:26.3,0:52.6,0:44.8,0:48.7,,0:25.7,0:27.5,,,0:47.4,0:51.4,,0:27.0
7,ANDERSSON,Ingela,SWE,12,0:27.8,0:25.4,0:26.6,0:49.5,0:47.0,0:48.3,0:26.7,0:26.1,0:27.2,0:25.4,0:48.1,0:48.4,0:49.5,0:43.7,0:26.0
8,BLASHKO,Darya,BLR,1,0:27.9,0:25.2,0:26.6,0:45.8,0:45.5,0:45.7,,0:26.6,,,,0:45.7,,,
9,PREKOPOVA,Natalia,SVK,2,0:27.9,0:26.1,0:27.0,0:48.6,0:47.8,0:48.2,,0:27.0,,,,0:48.2,,,0:26.0
10,CADURISCH,Irene,SUI,9,0:30.2,0:24.5,0:27.4,0:50.1,0:44.9,0:47.5,0:28.4,0:26.6,0:27.2,,0:49.4,0:47.0,0:46.3,,0:25.7
11,GAIM,Grete,EST,3,0:29.8,0:25.6,0:27.7,0:54.2,0:48.4,0:51.3,0:27.0,0:28.4,,,0:52.4,0:50.2,,,0:28.0
12,CRAWFORD,Rosanna,CAN,17,0:29.7,0:25.9,0:27.8,0:50.0,0:47.2,0:48.6,0:27.8,0:29.5,0:27.4,0:25.6,0:48.3,0:50.6,0:48.5,0:46.0,0:24.9
13,VARVYNETS,Iryna,UKR,15,0:30.5,0:25.2,0:27.9,0:51.2,0:45.8,0:48.5,0:31.4,0:30.2,0:26.5,0:22.9,0:52.4,0:50.6,0:46.9,0:44.0,0:26.4
14,VAILLANCOURT,Audrey,CAN,1,0:29.0,0:27.0,0:28.0,0:57.0,0:52.4,0:54.7,,0:28.0,,,,0:54.7,,,0:29.9
15,YORDANOVA,Emilia,BUL,12,0:28.4,0:28.0,0:28.2,0:51.6,0:50.6,0:51.1,0:26.8,0:28.6,0:30.8,,0:50.0,0:52.2,0:50.1,,0:27.5
16,HAECKI,Lena,SUI,15,0:30.6,0:25.0,0:28.3,0:51.2,0:46.0,0:48.6,0:28.3,0:27.9,0:28.6,,0:49.0,0:49.0,0:48.3,,0:25.4
17,VIROLAYNEN,Daria,RUS,21,0:28.6,0:28.6,0:28.6,0:50.2,0:49.2,0:49.7,0:28.9,0:27.7,0:29.2,0:28.7,0:50.9,0:49.6,0:49.9,0:48.5,0:24.5
18,FENNE,Hilde,NOR,8,0:28.9,0:28.5,0:28.7,0:48.6,0:48.8,0:48.7,,0:31.1,0:26.4,0:27.3,,0:52.2,0:46.8,0:43.9,0:23.7
19,BIRKELAND,Fanny Horn,NOR,16,0:29.4,0:28.2,0:28.8,0:50.2,0:48.4,0:49.3,0:30.4,0:30.8,0:27.3,0:26.8,0:50.2,0:51.1,0:48.7,0:44.6,0:24.0
20,CHARVATOVA,Lucie,CZE,20,0:30.3,0:27.4,0:28.9,0:50.9,0:48.4,0:49.7,0:31.0,0:29.9,0:28.3,0:25.6,0:51.4,0:50.7,0:49.1,0:46.9,0:23.4
21,PODCHUFAROVA,Olga,RUS,18,0:30.7,0:27.5,0:29.1,0:51.5,0:49.2,0:50.4,0:31.0,0:27.5,0:29.3,0:29.6,0:52.1,0:48.6,0:50.8,0:50.9,0:26.1
